Year,SB,SB_SD,low_SB,hi_SB,Depletion,Dep_SD,low_dep,hi_dep,SSversion
1969,649.381,0,649.381,649.381,0.478126,0,0.478126,0.478126,330_fixed
1970,638.709,0,638.709,638.709,0.470268,0,0.470268,0.470268,330_fixed
1971,637.547,0,637.547,637.547,0.469412,0,0.469412,0.469412,330_fixed
1972,642.221,0,642.221,642.221,0.472854,0,0.472854,0.472854,330_fixed
1973,642.615,0,642.615,642.615,0.473144,0,0.473144,0.473144,330_fixed
1974,647.643,0,647.643,647.643,0.476846,0,0.476846,0.476846,330_fixed
1975,657.725,0,657.725,657.725,0.484269,0,0.484269,0.484269,330_fixed
1976,670.572,0,670.572,670.572,0.493729,0,0.493729,0.493729,330_fixed
1977,667.605,0,667.605,667.605,0.491544,0,0.491544,0.491544,330_fixed
1978,657.431,0,657.431,657.431,0.484053,0,0.484053,0.484053,330_fixed
1979,647.218,0,647.218,647.218,0.476533,0,0.476533,0.476533,330_fixed
1980,636.734,0,636.734,636.734,0.468814,0,0.468814,0.468814,330_fixed
1981,613.102,0,613.102,613.102,0.451415,0,0.451415,0.451415,330_fixed
1982,553.201,0,553.201,553.201,0.40731,0,0.40731,0.40731,330_fixed
1983,511.115,0,511.115,511.115,0.376323,0,0.376323,0.376323,330_fixed
1984,492.186,0,492.186,492.186,0.362387,0,0.362387,0.362387,330_fixed
1985,477.413,0,477.413,477.413,0.351509,0,0.351509,0.351509,330_fixed
1986,460.767,0,460.767,460.767,0.339253,0,0.339253,0.339253,330_fixed
1987,444.907,0,444.907,444.907,0.327575,0,0.327575,0.327575,330_fixed
1988,421.361,0,421.361,421.361,0.31024,0,0.31024,0.31024,330_fixed
1989,406.11,0,406.11,406.11,0.299011,0,0.299011,0.299011,330_fixed
1990,387.564,0,387.564,387.564,0.285355,0,0.285355,0.285355,330_fixed
1991,380.914,0,380.914,380.914,0.280459,0,0.280459,0.280459,330_fixed
1992,390.28,0,390.28,390.28,0.287355,0,0.287355,0.287355,330_fixed
1993,405.77,0,405.77,405.77,0.29876,0,0.29876,0.29876,330_fixed
