"","Label","Type","0- Reference model","01- Est M","02- Lorenzen M","03- fix growth","04- fix growth Est M","05- Est Lmin","06- fix t0=0","07- Est CVlts","08- bio mat ogive","09- Fxnal mat ogive","10- Fec = ltwt","11- No rec devs","12- Full rec devs","13- Domed sel est"
"162",NA,"Late_RecrDev_2020",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"163",NA,"Late_RecrDev_2021",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"164",NA,"Late_RecrDev_2022",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"165",NA,"ForeRecr_2023",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"166",NA,"ForeRecr_2024",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",NA,"ForeRecr_2025",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",NA,"ForeRecr_2026",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",NA,"ForeRecr_2027",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,"ForeRecr_2028",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",NA,"ForeRecr_2029",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",NA,"ForeRecr_2030",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",NA,"ForeRecr_2031",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",NA,"ForeRecr_2032",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",NA,"ForeRecr_2033",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",NA,"ForeRecr_2034",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",NA,"InitF_seas_1_flt_1Trawl",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"178",NA,"InitF_seas_1_flt_2NonTRWL",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"179",NA,"InitF_seas_1_flt_3Recreational",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"180",NA,"LnQ_base_Tagging(4)",-5.58668,-5.40544,-5.58868,-7.33272,-6.09632,-5.60738,-6.02235,-5.70352,-5.61913,-5.58591,-5.59461,-5.52639,-5.60541,-5.52666
