"","Label","Type","0- Reference","1- Length only","2- Age only","3- Length Age only","4a- Catch length","4b- Catch length rec devs","5a- Catch age","5b- Catch age rec devs","6a- Catch length age","6b- Catch length age recdevs"
"169",NA,"Main_RecrDev_2009",0.395297,NA,NA,NA,NA,0.350192,NA,0.304366,NA,0.357608
"170",NA,"Main_RecrDev_2010",0.290575,NA,NA,NA,NA,0.20876,NA,0.34505,NA,0.290978
"171",NA,"Main_RecrDev_2011",0.82043,NA,NA,NA,NA,0.0376294,NA,0.793343,NA,0.801079
"172",NA,"Main_RecrDev_2012",0.509098,NA,NA,NA,NA,0.0200755,NA,0.477927,NA,0.509434
"173",NA,"Main_RecrDev_2013",0.449575,NA,NA,NA,NA,0.162702,NA,0.474139,NA,0.47824
"174",NA,"Main_RecrDev_2014",0.196725,NA,NA,NA,NA,0.0372386,NA,0.241342,NA,0.258656
"175",NA,"Main_RecrDev_2015",-0.110975,NA,NA,NA,NA,-0.222133,NA,0.0617585,NA,0.0588006
"176",NA,"Main_RecrDev_2016",-0.0602801,NA,NA,NA,NA,-0.356135,NA,0.0891721,NA,0.104069
"177",NA,"Main_RecrDev_2017",-0.643318,NA,NA,NA,NA,-0.370297,NA,-0.550299,NA,-0.5286
"178",NA,"Late_RecrDev_2018",0,NA,NA,NA,NA,0,NA,0,NA,0
"179",NA,"Late_RecrDev_2019",0,NA,NA,NA,NA,0,NA,0,NA,0
"180",NA,"Late_RecrDev_2020",0,NA,NA,NA,NA,0,NA,0,NA,0
"181",NA,"Late_RecrDev_2021",0,NA,NA,NA,NA,0,NA,0,NA,0
"182",NA,"Late_RecrDev_2022",0,NA,NA,NA,NA,0,NA,0,NA,0
"183",NA,"ForeRecr_2023",0,NA,NA,NA,NA,0,NA,0,NA,0
"184",NA,"InitF_seas_1_flt_1Trawl",1e-20,NA,NA,NA,1e-20,1e-20,NA,NA,NA,NA
"185",NA,"InitF_seas_1_flt_2NonTRWL",1e-20,NA,NA,NA,1e-20,1e-20,NA,NA,NA,NA
