"","Label","Type","0- Reference model","01- old dockside","02- old dockside no xvar","03- private boat no xvar","04- no private boat","05- no charter","06- no dockside indices","07- no tag index","08- no nearshore","09- no OCMNS","10- no YOY","11- no data wts","12- Dirichlet","13- McA_I","14- old catch"
"108",NA,"Main_RecrDev_1960",-0.465995,-0.459351,-0.660925,-0.465706,-0.3946,-0.454005,-0.397749,-0.411959,-0.465129,-0.456595,-0.461766,-0.864865,-0.91281,-0.84006,-0.284815
"109",NA,"Main_RecrDev_1961",-0.375566,-0.368689,-0.575724,-0.375271,-0.301871,-0.3633,-0.303293,-0.317803,-0.374835,-0.365578,-0.371557,-0.624471,-0.661515,-0.728893,-0.208874
"110",NA,"Main_RecrDev_1962",-0.275133,-0.267757,-0.480789,-0.274829,-0.197742,-0.262535,-0.19726,-0.203813,-0.274554,-0.264308,-0.27133,-0.398644,-0.446182,-0.570617,-0.122526
"111",NA,"Main_RecrDev_1963",-0.225241,-0.217394,-0.429036,-0.224938,-0.146262,-0.212809,-0.144892,-0.164516,-0.224765,-0.213964,-0.221592,0.0418598,0.0230624,-0.414391,-0.0955168
"112",NA,"Main_RecrDev_1964",-0.277368,-0.269785,-0.468765,-0.27709,-0.202901,-0.26587,-0.202842,-0.212857,-0.276855,-0.266829,-0.273762,-0.494892,-0.556231,-0.435884,-0.179051
"113",NA,"Main_RecrDev_1965",-0.337805,-0.33078,-0.521633,-0.337552,-0.267535,-0.326938,-0.268575,-0.275631,-0.33724,-0.328055,-0.334217,-0.50349,-0.542942,-0.517862,-0.265771
"114",NA,"Main_RecrDev_1966",-0.312583,-0.306086,-0.496499,-0.312351,-0.244385,-0.301907,-0.245791,-0.258381,-0.312005,-0.303275,-0.309037,-0.434167,-0.462941,-0.450791,-0.262496
"115",NA,"Main_RecrDev_1967",-0.106411,-0.100076,-0.303479,-0.106177,-0.0353216,-0.0951335,-0.0355146,-0.0480772,-0.105919,-0.0966223,-0.102972,-0.263032,-0.315982,-0.0526132,-0.0769933
"116",NA,"Main_RecrDev_1968",0.151169,0.15944,-0.065971,0.151414,0.236398,0.163347,0.241482,0.230611,0.151258,0.16375,0.154244,0.500801,0.472495,0.129883,0.140147
"117",NA,"Main_RecrDev_1969",-0.141867,-0.135437,-0.312486,-0.141659,-0.0779051,-0.133036,-0.0808282,-0.0924617,-0.141322,-0.133159,-0.138511,-0.884897,-0.93871,-0.510345,-0.163486
"118",NA,"Main_RecrDev_1970",-0.170758,-0.164426,-0.343131,-0.17055,-0.10526,-0.162075,-0.107593,-0.117355,-0.170268,-0.161858,-0.167502,-0.604632,-0.650356,-0.439087,-0.212806
"119",NA,"Main_RecrDev_1971",0.0167988,0.0250035,-0.152873,0.0169809,0.0920431,0.0245578,0.0922451,0.0823764,0.0169306,0.0276942,0.0196715,0.290709,0.263333,-0.0843259,-0.0636906
"120",NA,"Main_RecrDev_1972",-0.0747104,-0.067363,-0.192753,-0.0745928,-0.0155721,-0.0701325,-0.0220555,-0.0196803,-0.0742802,-0.0666637,-0.0716568,-0.893635,-0.950008,-0.280517,-0.14911
"121",NA,"Main_RecrDev_1973",0.314663,0.321736,0.160736,0.314781,0.382872,0.320357,0.379976,0.367674,0.314875,0.324033,0.317475,0.442463,0.412707,0.287571,0.214787
"122",NA,"Main_RecrDev_1974",0.386629,0.400081,0.407783,0.386593,0.446455,0.381813,0.434269,0.449434,0.386577,0.396095,0.389087,0.452623,0.418618,0.520072,0.26729
"123",NA,"Main_RecrDev_1975",-0.246232,-0.23591,-0.211328,-0.246225,-0.198214,-0.250363,-0.213037,-0.207286,-0.245833,-0.239506,-0.243383,-0.172294,-0.203885,-0.181478,-0.3352
"124",NA,"Main_RecrDev_1976",0.0324192,0.0476885,0.202238,0.0323996,0.0875862,0.0214272,0.0698385,0.0917991,0.0323708,0.0415915,0.0347945,0.282408,0.251097,0.43604,-0.0894301
"125",NA,"Main_RecrDev_1977",-0.0788472,-0.0653001,0.134834,-0.0788549,-0.0322078,-0.0905142,-0.052674,-0.0326425,-0.0786343,-0.0714541,-0.0762693,-0.134955,-0.165538,-0.28244,-0.181044
"126",NA,"Main_RecrDev_1978",0.373127,0.389968,0.714776,0.373089,0.419147,0.356681,0.39557,0.426367,0.373129,0.381312,0.375421,0.487601,0.458993,0.558033,0.254022
"127",NA,"Main_RecrDev_1979",0.0716554,0.0902334,0.449557,0.0716035,0.110623,0.0540889,0.085563,0.11973,0.0717216,0.0791286,0.0739771,0.253389,0.225018,0.27162,-0.0455818
"128",NA,"Main_RecrDev_1980",-0.105198,-0.0849773,0.244538,-0.105245,-0.0686585,-0.122287,-0.0934217,-0.0560861,-0.105138,-0.0978535,-0.102938,-0.0613629,-0.0885768,-0.0686945,-0.22827
"129",NA,"Main_RecrDev_1981",-0.0311192,-0.00681199,0.265693,-0.0311854,0.000319688,-0.0467043,-0.0223542,0.0184133,-0.0311255,-0.023805,-0.0289814,0.159607,0.133457,0.0976671,-0.163888
"130",NA,"Main_RecrDev_1982",-0.258047,-0.232868,-0.0340549,-0.258098,-0.231671,-0.27065,-0.252043,-0.212942,-0.257961,-0.251498,-0.255887,0.102654,0.0777324,-0.0781263,-0.386727
"131",NA,"Main_RecrDev_1983",0.280422,0.310264,0.461783,0.280357,0.30123,0.270005,0.284217,0.329184,0.280375,0.287107,0.28232,0.375237,0.351907,0.41373,0.136256
"132",NA,"Main_RecrDev_1984",-0.0816662,-0.0514658,0.0293579,-0.0817202,-0.0663487,-0.0882528,-0.0798944,-0.0365992,-0.0816247,-0.0757087,-0.0797259,0.137269,0.114914,0.0398804,-0.2232
"133",NA,"Main_RecrDev_1985",0.156995,0.187814,0.293196,0.156938,0.170289,0.151248,0.158651,0.204903,0.156953,0.16295,0.158738,0.215654,0.194935,0.237219,0.0105943
"134",NA,"Main_RecrDev_1986",-0.167596,-0.137412,-0.0226435,-0.16764,-0.158038,-0.171892,-0.168182,-0.121648,-0.167575,-0.162266,-0.165863,0.00415295,-0.0153115,-0.0916824,-0.308352
"135",NA,"Main_RecrDev_1987",0.128984,0.160127,0.319478,0.128928,0.133934,0.126768,0.126988,0.175958,0.128925,0.134045,0.130476,0.162535,0.145336,0.190427,-0.0185047
"136",NA,"Main_RecrDev_1988",-0.217195,-0.187128,-0.0110512,-0.217262,-0.217027,-0.216795,-0.221178,-0.17348,-0.217213,-0.212939,-0.215771,0.0307762,0.0154502,-0.115733,-0.355448
"137",NA,"Main_RecrDev_1989",0.296705,0.326843,0.492856,0.296615,0.292725,0.299103,0.291868,0.34077,0.296581,0.300721,0.297863,0.335704,0.322409,0.367326,0.172393
"138",NA,"Main_RecrDev_1990",0.120929,0.147275,0.244562,0.120823,0.114258,0.124561,0.115363,0.160708,0.120798,0.124453,0.121999,0.191088,0.179331,0.202723,0.0220688
"139",NA,"Main_RecrDev_1991",-0.092637,-0.0700671,-0.0214912,-0.0927388,-0.101562,-0.0885282,-0.0993893,-0.0596838,-0.0927733,-0.0895323,-0.0916786,-0.0278181,-0.0378471,-0.0108108,-0.183014
"140",NA,"Main_RecrDev_1992",-0.199431,-0.179886,-0.141439,-0.199535,-0.209441,-0.195327,-0.206997,-0.175107,-0.199574,-0.196718,-0.198573,-0.230792,-0.238907,-0.107302,-0.287274
"141",NA,"Main_RecrDev_1993",-0.0716465,-0.0552179,-0.0107388,-0.0717318,-0.0813563,-0.0672883,-0.0782493,-0.0576539,-0.0717785,-0.0691333,-0.0708395,-0.116152,-0.122236,-0.000924561,-0.161836
"142",NA,"Main_RecrDev_1994",0.265949,0.278728,0.333479,0.265859,0.256643,0.270406,0.26022,0.264565,0.265789,0.268289,0.266652,0.20293,0.198787,0.352117,0.185822
"143",NA,"Main_RecrDev_1995",0.211945,0.218532,0.292128,0.211872,0.204228,0.216832,0.208593,0.192756,0.211793,0.214138,0.212597,0.1574,0.155497,0.292504,0.128846
"144",NA,"Main_RecrDev_1996",-0.241322,-0.238952,-0.154852,-0.241385,-0.248293,-0.237073,-0.244859,-0.26922,-0.241408,-0.239469,-0.240594,-0.297845,-0.297821,-0.164556,-0.318513
"145",NA,"Main_RecrDev_1997",0.0798823,0.0785596,0.176008,0.0797968,0.070255,0.0831722,0.0738577,0.046051,0.0796846,0.0814461,0.0803284,0.0728158,0.0760103,0.156892,0.00140721
"146",NA,"Main_RecrDev_1998",0.0956253,0.0892082,0.133316,0.0955421,0.0831626,0.0978556,0.0868518,0.0573698,0.0954212,0.0966894,0.0959847,0.110027,0.116229,0.155406,0.0239358
"147",NA,"Main_RecrDev_1999",0.261393,0.251044,0.246622,0.261295,0.245027,0.262761,0.248575,0.218488,0.261141,0.261776,0.261533,0.284662,0.295128,0.331597,0.206328
"148",NA,"Main_RecrDev_2000",0.468611,0.453544,0.411715,0.468499,0.446923,0.468956,0.451582,0.42054,0.468256,0.468267,0.468414,0.526768,0.542262,0.542277,0.422932
"149",NA,"Main_RecrDev_2001",-0.325953,-0.345227,-0.393666,-0.326077,-0.350887,-0.326411,-0.346423,-0.374719,-0.326273,-0.327274,-0.326222,-0.271769,-0.251482,-0.24838,-0.355558
"150",NA,"Main_RecrDev_2002",-0.478596,-0.499342,-0.55185,-0.478714,-0.508332,-0.479461,-0.503641,-0.531015,-0.478934,-0.48071,-0.479073,-0.42543,-0.399599,-0.402464,-0.500415
"151",NA,"Main_RecrDev_2003",0.196624,0.17054,0.0838666,0.196475,0.159509,0.194875,0.166566,0.138942,0.196094,0.193388,0.195551,0.320672,0.352991,0.266239,0.185203
"152",NA,"Main_RecrDev_2004",0.111297,0.0816584,-0.0681636,0.11112,0.0686337,0.108591,0.0771585,0.0524058,0.110698,0.106713,0.109883,0.228338,0.266299,0.201939,0.119473
"153",NA,"Main_RecrDev_2005",0.0329186,0.00265507,-0.153799,0.0327531,-0.0144153,0.029924,-0.00476694,-0.0259872,0.032317,0.0272306,0.0312799,0.193846,0.238232,0.106588,0.0540983
"154",NA,"Main_RecrDev_2006",0.495719,0.463093,0.391625,0.495528,0.435044,0.491509,0.448135,0.428133,0.494912,0.487921,0.493272,0.684638,0.736451,0.585438,0.538853
"155",NA,"Main_RecrDev_2007",0.507798,0.474356,0.487278,0.50764,0.435473,0.502947,0.451699,0.433896,0.506968,0.49793,0.504905,0.728883,0.788382,0.588387,0.575504
"156",NA,"Main_RecrDev_2008",0.643102,0.609478,0.662141,0.642933,0.558018,0.637311,0.577195,0.560497,0.642128,0.631074,0.639526,0.914084,0.98087,0.731206,0.729381
"157",NA,"Main_RecrDev_2009",0.395464,0.359546,0.403454,0.395297,0.290282,0.388582,0.314882,0.29781,0.394368,0.380227,0.391106,0.685967,0.761098,0.488043,0.51437
"158",NA,"Main_RecrDev_2010",0.290734,0.254122,0.286673,0.290575,0.176508,0.2838,0.202906,0.184778,0.289626,0.273874,0.286007,0.608048,0.689064,0.373607,0.421738
"159",NA,"Main_RecrDev_2011",0.820609,0.780416,0.84469,0.82043,0.684679,0.812644,0.717916,0.698038,0.81927,0.79995,0.814864,1.15118,1.23619,0.925708,0.980737
"160",NA,"Main_RecrDev_2012",0.509258,0.468835,0.546365,0.509098,0.36536,0.501211,0.401714,0.381467,0.50796,0.486326,0.502866,0.83928,0.939216,0.611253,0.684016
"161",NA,"Main_RecrDev_2013",0.44973,0.407823,0.486302,0.449575,0.297168,0.441703,0.338234,0.316827,0.448405,0.42397,0.444369,0.770705,0.897011,0.567397,0.638468
"162",NA,"Main_RecrDev_2014",0.19688,0.155994,0.238875,0.196725,0.043251,0.188966,0.0788298,0.0579209,0.195719,0.166812,0.184054,0.468488,0.631935,0.340724,0.386333
"163",NA,"Main_RecrDev_2015",-0.110828,-0.148948,-0.0709643,-0.110975,-0.255797,-0.118016,-0.232556,-0.252533,-0.111663,-0.145524,-0.0901902,0.100206,0.333473,0.0417875,0.0626576
"164",NA,"Main_RecrDev_2016",-0.060095,-0.0974625,-0.0235316,-0.0602801,-0.202053,-0.0668642,-0.218368,-0.238385,-0.0600244,-0.105243,-0.10578,0.0642071,0.312772,0.119324,0.0537605
"165",NA,"Main_RecrDev_2017",-0.643139,-0.676118,-0.61392,-0.643318,-0.769029,-0.648929,-0.806177,-0.823233,-0.639852,-0.687946,-0.671764,-0.501738,-0.695454,-0.640239,-0.614465
"166",NA,"Late_RecrDev_2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",NA,"Late_RecrDev_2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",NA,"Late_RecrDev_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",NA,"Late_RecrDev_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
