"","Label","Type","Reference Model","01-Length Only","02-C+L","03-C+L Francis","04-C+L+A","05-C+L+A+I","06-C+L+A+I-extra var","07-C+L+A+I+estLH-extra var","08-Ref Mod with Dirichlet","09-Ref Mod with McI","10-Ref Mod -data wt","11-Ref Mod with CARE age error","12. Use Sex=3"
"208",NA,"Main_RecrDev_1936",NA,NA,NA,NA,NA,NA,NA,NA,-0.0465112,-0.0482163,-0.0456396,NA,NA
"209",NA,"Main_RecrDev_1937",NA,NA,NA,NA,NA,NA,NA,NA,-0.0489567,-0.0507972,-0.0480266,NA,NA
"210",NA,"Main_RecrDev_1938",NA,NA,NA,NA,NA,NA,NA,NA,-0.0515715,-0.0535489,-0.0505821,NA,NA
"211",NA,"Main_RecrDev_1939",NA,NA,NA,NA,NA,NA,NA,NA,-0.054368,-0.0564765,-0.0533094,NA,NA
"212",NA,"Main_RecrDev_1940",NA,NA,NA,NA,NA,NA,NA,NA,-0.0573099,-0.0595789,-0.0561844,NA,NA
"213",NA,"Main_RecrDev_1941",NA,NA,NA,NA,NA,NA,NA,NA,-0.0599204,-0.0625961,-0.05875,NA,NA
"214",NA,"Main_RecrDev_1942",NA,NA,NA,NA,NA,NA,NA,NA,-0.061607,-0.0651545,-0.0604064,NA,NA
"215",NA,"Main_RecrDev_1943",NA,NA,NA,NA,NA,NA,NA,NA,-0.0639943,-0.068189,-0.0627754,NA,NA
"216",NA,"Main_RecrDev_1944",NA,NA,NA,NA,NA,NA,NA,NA,0.123051,0.0389995,0.124821,NA,NA
"217",NA,"Main_RecrDev_1945",NA,NA,NA,NA,NA,NA,NA,NA,-0.0675973,-0.0737521,-0.0663231,NA,NA
"218",NA,"Main_RecrDev_1946",NA,NA,NA,NA,NA,NA,NA,NA,-0.0704592,-0.0772517,-0.0691507,NA,NA
"219",NA,"Main_RecrDev_1947",NA,NA,NA,NA,NA,NA,NA,NA,-0.0719896,-0.0799472,-0.0706469,NA,NA
"220",NA,"Main_RecrDev_1948",NA,NA,NA,NA,NA,NA,NA,NA,0.102552,0.0234565,0.104321,NA,NA
"221",NA,"Main_RecrDev_1949",NA,NA,NA,NA,NA,NA,NA,NA,-0.0782407,-0.0876794,-0.0768656,NA,NA
